station_id,phase_time,phase_score,phase_type,dt
C,2017-03-03 14:51:49.678,0.705,P,0.01
C,2017-03-03 14:53:11.618,0.325,P,0.01
C,2017-03-03 14:53:25.578,0.593,P,0.01
C,2017-03-03 14:53:44.698,0.369,P,0.01
C,2017-03-03 15:01:25.518,0.3,P,0.01
C,2017-03-03 15:02:13.598,0.302,P,0.01
C,2017-03-03 15:07:39.958,0.492,P,0.01
C,2017-03-03 15:08:28.008,0.462,P,0.01
C,2017-03-03 15:09:16.208,0.335,P,0.01
C,2017-03-03 15:15:59.528,0.446,P,0.01
C,2017-03-03 15:25:54.358,0.515,P,0.01
C,2017-03-03 15:35:25.928,0.304,P,0.01
C,2017-03-03 15:46:25.358,0.489,P,0.01
C,2017-03-03 15:49:39.858,0.352,P,0.01
C,2017-03-03 15:53:54.138,0.597,P,0.01
C,2017-03-03 15:58:17.898,0.433,P,0.01
C,2017-03-03 15:58:24.098,0.708,P,0.01
C,2017-03-03 16:02:22.698,0.339,P,0.01
C,2017-03-03 16:09:13.578,0.349,P,0.01
C,2017-03-03 16:09:31.408,0.335,P,0.01
C,2017-03-03 16:09:35.258,0.492,P,0.01
C,2017-03-03 16:14:56.138,0.436,P,0.01
C,2017-03-03 16:16:24.048,0.91,P,0.01
C,2017-03-03 16:22:29.338,0.352,P,0.01
C,2017-03-03 16:24:47.378,0.447,P,0.01
C,2017-03-03 16:27:27.678,0.461,P,0.01
C,2017-03-03 16:32:23.398,0.632,P,0.01
C,2017-03-03 16:43:34.888,0.471,P,0.01
C,2017-03-03 16:45:30.098,0.352,P,0.01
C,2017-03-03 16:51:37.098,0.359,P,0.01
C,2017-03-03 16:55:40.298,0.305,P,0.01
C,2017-03-03 17:03:07.968,0.413,P,0.01
C,2017-03-03 17:03:19.498,0.401,P,0.01
C,2017-03-03 17:10:17.538,0.429,P,0.01
C,2017-03-03 17:14:13.428,0.372,P,0.01
C,2017-03-03 17:15:35.438,0.451,P,0.01
C,2017-03-03 17:21:44.098,0.453,P,0.01
C,2017-03-03 17:24:08.538,0.38,P,0.01
C,2017-03-03 17:29:40.248,0.358,P,0.01
C,2017-03-03 17:30:51.768,0.316,P,0.01
C,2017-03-03 17:41:10.998,0.811,P,0.01
C,2017-03-03 17:44:13.888,0.501,P,0.01
C,2017-03-03 17:44:23.088,0.445,P,0.01
C,2017-03-03 17:50:22.808,0.64,P,0.01
C,2017-03-03 18:07:16.318,0.333,P,0.01
C,2017-03-03 18:09:55.178,0.551,P,0.01
C,2017-03-03 18:13:39.848,0.44,P,0.01
C,2017-03-03 18:19:51.398,0.304,P,0.01
C,2017-03-03 18:21:06.338,0.308,P,0.01
C,2017-03-03 18:28:08.638,0.447,P,0.01
C,2017-03-03 18:33:53.618,0.306,P,0.01
