time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km),longitude,latitude,depth_km
2023-01-01T18:44:26.415,0.671,1.296,0.375,-0.119,5.0,5,1,4,83,-228.543,309.003,0.516,-122.185,40.253,0.516
2023-01-01T18:39:28.605,0.865,0.674,0.482,0.089,29.216,30,14,16,105,-384.595,336.235,26.81,-124.031,40.442,26.81
2023-01-01T18:39:36.698,0.398,1.224,0.529,-0.314,11.303,11,7,4,106,-388.126,350.874,0.0,-124.081,40.572,0.0
2023-01-01T18:51:28.837,0.154,0.482,0.63,0.078,5.0,5,4,1,98,-371.057,290.605,0.0,-123.846,40.038,0.0
2023-01-01T18:43:18.182,1.619,0.544,0.655,-0.173,5.917,6,3,3,99,-194.671,129.839,0.08,-121.736,38.649,0.08
2023-01-01T18:41:05.389,-0.171,0.355,0.779,0.005,11.927,12,7,5,117,-371.0,335.499,0.0,-123.87,40.441,0.0
2023-01-01T18:48:49.262,-0.067,1.112,1.305,0.429,4.234,5,4,1,118,-169.473,1.0,0.0,-121.416,37.493,0.0
2023-01-01T18:31:49.007,1.698,3.823,0.794,0.282,9.0,8,2,6,124,-321.566,168.825,8.805,-123.21,38.963,8.805
2023-01-01T18:58:01.015,-0.238,0.753,0.203,-0.013,4.998,5,3,2,125,-261.267,261.091,0.0,-122.55,39.813,0.0
2023-01-01T18:42:51.244,-0.226,0.35,0.386,-0.019,4.865,5,3,2,149,-415.189,332.661,31.0,-124.388,40.396,31.0
2023-01-01T18:43:29.984,0.421,0.32,0.415,0.051,7.88,7,3,4,151,-380.21,335.722,25.45,-123.979,40.439,25.45
2023-01-01T18:44:35.038,0.093,0.392,0.396,0.047,16.99,17,8,9,138,-383.394,336.712,29.707,-124.017,40.447,29.707
2023-01-01T18:45:27.409,-0.222,1.105,0.345,-0.104,12.996,13,6,7,139,-383.975,329.703,27.806,-124.019,40.383,27.806
2023-01-01T18:58:04.802,1.378,1.402,1.289,1.137,4.77,5,1,4,141,-186.005,48.455,0.0,-121.615,37.918,0.0
2023-01-01T18:46:28.284,-0.487,0.991,0.408,0.202,5.443,5,2,3,166,-326.244,542.897,1.829,-123.451,42.322,1.829
2023-01-01T18:46:03.854,1.098,4.942,0.496,-0.891,21.855,19,10,9,171,-369.915,255.116,0.0,-123.813,39.72,0.0
2023-01-01T18:46:17.714,1.64,0.825,0.534,0.112,68.925,72,38,34,172,-380.776,334.011,31.0,-123.984,40.424,31.0
2023-01-01T18:34:18.661,-0.664,0.063,0.323,-0.0,11.0,11,6,5,148,-269.877,477.6,12.162,-122.741,41.756,12.162
2023-01-01T18:40:22.440,1.311,0.026,0.474,0.0,5.0,5,3,2,152,-142.759,-117.472,0.257,-121.092,36.431,0.257
