index,network,station,location,instrument,component,sensitivity,latitude,longitude,elevation_m,depth_km,x_km,y_km,z_km,provider
AZ.KNW..BH,AZ,KNW,,BH,12ENZ,"[839091000.0, 209773000.0, 839091000.0, 209773000.0, 209773000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0, 209773000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0, 839091000.0, 209773000.0, 209773000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0]",33.7141,-116.7119,1507.0,-1.507,258.718,-416.537,-1.507,NC
AZ.KNW..EH,AZ,KNW,,EH,12Z,"[31432900.0, 15716500.0, 31432900.0, 15716500.0, 15716500.0, 15716500.0, 15697900.0, 2009330000.0, 502333000.0, 15697900.0, 1004670000.0, 15697900.0, 15697900.0, 502333000.0, 15697900.0, 15697900.0, 251167000.0, 15697900.0, 15697900.0, 15697900.0, 502333000.0, 15697900.0, 31430900.0, 31432900.0, 15716500.0, 31432900.0, 15716500.0, 15716500.0, 15716500.0, 15697900.0, 2009330000.0, 502333000.0, 15697900.0, 1004670000.0, 15697900.0, 15697900.0, 502333000.0, 15697900.0, 15697900.0, 251167000.0, 15697900.0, 15697900.0, 15697900.0, 502333000.0, 15697900.0, 31430900.0, 31432900.0, 15716500.0, 31432900.0, 15716500.0, 15716500.0, 15716500.0, 15697900.0, 2009330000.0, 502333000.0, 15697900.0, 1004670000.0, 15697900.0, 15697900.0, 502333000.0, 15697900.0, 15697900.0, 251167000.0, 15697900.0, 15697900.0, 502333000.0, 15697900.0, 31430900.0]",33.7141,-116.7119,1507.0,-1.507,258.718,-416.537,-1.507,NC
AZ.KNW..HH,AZ,KNW,,HH,12ENZ,"[157649000.0, 39412300.0, 840484000.0, 210121000.0, 157649000.0, 39412300.0, 840484000.0, 210121000.0, 210121000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629919000.0, 629919000.0, 629569000.0, 629919000.0, 210121000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629919000.0, 629919000.0, 629569000.0, 629919000.0, 157649000.0, 39412300.0, 840484000.0, 210121000.0, 210121000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629919000.0, 629919000.0, 629569000.0, 629919000.0]",33.7141,-116.7119,1507.0,-1.507,258.718,-416.537,-1.507,NC
AZ.KNW..HN,AZ,KNW,,HN,ENZ,"[536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0]",33.7141,-116.7119,1507.0,-1.507,258.718,-416.537,-1.507,NC
AZ.LVA2..BH,AZ,LVA2,,BH,ENZ,"[839091000.0, 209773000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 839091000.0, 209773000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 839091000.0, 209773000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0]",33.351601,-116.561501,1435.0,-1.435,273.875,-456.385,-1.435,NC
AZ.LVA2..HH,AZ,LVA2,,HH,ENZ,"[840484000.0, 210121000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629569000.0, 840484000.0, 210121000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629569000.0, 840484000.0, 210121000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629569000.0]",33.351601,-116.561501,1435.0,-1.435,273.875,-456.385,-1.435,NC
AZ.LVA2..HN,AZ,LVA2,,HN,ENZ,"[536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0, 536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0, 536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0]",33.351601,-116.561501,1435.0,-1.435,273.875,-456.385,-1.435,NC
AZ.PFO..BH,AZ,PFO,,BH,12ENZ,"[839091000.0, 209773000.0, 839091000.0, 209773000.0, 42581400.0, 839091000.0, 839091000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0, 42581400.0, 839091000.0, 839091000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0, 839091000.0, 209773000.0, 42581400.0, 839091000.0, 839091000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0]",33.611698,-116.459396,1259.0,-1.259,282.5,-427.213,-1.259,NC
AZ.PFO..EH,AZ,PFO,,EH,12ENZ,"[31432900.0, 15716500.0, 31432900.0, 15716500.0, 15716500.0, 15716500.0, 15697900.0, 2009330000.0, 502333000.0, 15697900.0, 1004670000.0, 15697900.0, 502333000.0, 15697900.0, 15697900.0, 15697900.0, 251167000.0, 15697900.0, 502333000.0, 15697900.0, 15697900.0, 31430900.0, 31432900.0, 15716500.0, 31432900.0, 15716500.0, 15716500.0, 15716500.0, 15697900.0, 2009330000.0, 502333000.0, 15697900.0, 1004670000.0, 15697900.0, 502333000.0, 15697900.0, 15697900.0, 15697900.0, 251167000.0, 15697900.0, 502333000.0, 15697900.0, 31430900.0, 66912700.0, 66912700.0, 31432900.0, 15716500.0, 31432900.0, 15716500.0, 15716500.0, 15716500.0, 15697900.0, 2009330000.0, 502333000.0, 15697900.0, 15697900.0, 1004670000.0, 15697900.0, 502333000.0, 15697900.0, 251167000.0, 15697900.0, 502333000.0, 15697900.0, 31430900.0, 66912700.0]",33.611698,-116.459396,1259.0,-1.259,282.5,-427.213,-1.259,NC
AZ.PFO..HH,AZ,PFO,,HH,12ENZ,"[210121000.0, 13132600.0, 39412300.0, 840484000.0, 210121000.0, 210121000.0, 13132600.0, 39412300.0, 840484000.0, 210121000.0, 840484000.0, 840484000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629919000.0, 629919000.0, 629919000.0, 840484000.0, 840484000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629919000.0, 629919000.0, 629919000.0, 210121000.0, 13132600.0, 39412300.0, 840484000.0, 210121000.0, 840484000.0, 840484000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629919000.0, 629919000.0, 629919000.0]",33.611698,-116.459396,1259.0,-1.259,282.5,-427.213,-1.259,NC
AZ.PFO..HN,AZ,PFO,,HN,ENZ,"[536936.0, 536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 536936.0, 536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 536936.0, 536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0]",33.611698,-116.459396,1259.0,-1.259,282.5,-427.213,-1.259,NC
AZ.RDM..BH,AZ,RDM,,BH,ENZ,"[839091000.0, 209773000.0, 209773000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 839091000.0, 209773000.0, 209773000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 839091000.0, 209773000.0, 209773000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0]",33.630001,-116.847801,1365.0,-1.365,246.359,-426.224,-1.365,NC
AZ.RDM..EH,AZ,RDM,,EH,12Z,"[31457700.0, 31432900.0, 31432900.0, 15716500.0, 15716500.0, 15716500.0, 15697900.0, 2009330000.0, 502333000.0, 15697900.0, 1004670000.0, 15697900.0, 15697900.0, 502333000.0, 15697900.0, 251167000.0, 15697900.0, 31430900.0, 31457700.0, 31432900.0, 31432900.0, 15716500.0, 15716500.0, 15716500.0, 15697900.0, 2009330000.0, 502333000.0, 15697900.0, 1004670000.0, 15697900.0, 15697900.0, 502333000.0, 15697900.0, 251167000.0, 15697900.0, 31430900.0, 31457700.0, 31432900.0, 31432900.0, 15716500.0, 15716500.0, 15716500.0, 15697900.0, 2009330000.0, 502333000.0, 15697900.0, 1004670000.0, 15697900.0, 15697900.0, 502333000.0, 15697900.0, 251167000.0, 15697900.0, 31430900.0]",33.630001,-116.847801,1365.0,-1.365,246.359,-426.224,-1.365,NC
AZ.RDM..HH,AZ,RDM,,HH,ENZ,"[840484000.0, 210121000.0, 210121000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629919000.0, 840484000.0, 210121000.0, 210121000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629919000.0, 840484000.0, 210121000.0, 210121000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629919000.0]",33.630001,-116.847801,1365.0,-1.365,246.359,-426.224,-1.365,NC
AZ.RDM..HN,AZ,RDM,,HN,ENZ,"[536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0, 536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0, 536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0]",33.630001,-116.847801,1365.0,-1.365,246.359,-426.224,-1.365,NC
AZ.SOL..BH,AZ,SOL,,BH,ENZ,"[789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 621941000.0, 621941000.0, 629313000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 621941000.0, 621941000.0, 629313000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 621941000.0, 621941000.0, 629313000.0]",32.841,-117.248001,245.0,-0.245,211.181,-514.778,-0.245,NC
AZ.SOL..HH,AZ,SOL,,HH,ENZ,"[790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 622540000.0, 622540000.0, 629919000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 622540000.0, 622540000.0, 629919000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 622540000.0, 622540000.0, 629919000.0]",32.841,-117.248001,245.0,-0.245,211.181,-514.778,-0.245,NC
AZ.SOL..HN,AZ,SOL,,HN,ENZ,"[845765.0, 845765.0, 845765.0, 855789.0, 845765.0, 845765.0, 845765.0, 855789.0, 845765.0, 845765.0, 845765.0, 855789.0]",32.841,-117.248001,245.0,-0.245,211.181,-514.778,-0.245,NC
BK.AASB.00.BH,BK,AASB,00,BH,ENZ,"[316506000.0, 316506000.0, 316506000.0]",38.43026,-121.10975,65.8,-0.0658,-140.566,104.472,-0.066,NC
BK.AASB.00.HH,BK,AASB,00,HH,ENZ,"[314801000.0, 314801000.0, 314801000.0]",38.43026,-121.10975,65.8,-0.0658,-140.566,104.472,-0.066,NC
BK.AASB.00.HN,BK,AASB,00,HN,ENZ,"[214519.0, 214005.0, 214587.0]",38.43026,-121.10975,67.1,-0.06709999999999999,-140.566,104.472,-0.067,NC
BK.ADAM.00.BH,BK,ADAM,00,BH,ENZ,"[316506000.0, 316506000.0, 316506000.0]",38.75142,-122.33414,625.9,-0.6259,-246.39,142.675,-0.626,NC
BK.ADAM.00.HH,BK,ADAM,00,HH,ENZ,"[314801000.0, 314801000.0, 314801000.0]",38.75142,-122.33414,625.9,-0.6259,-246.39,142.675,-0.626,NC
BK.ADAM.00.HN,BK,ADAM,00,HN,ENZ,"[214211.0, 214416.0, 214142.0]",38.75142,-122.33414,627.3,-0.6273,-246.39,142.675,-0.627,NC
BK.ALVW.00.BH,BK,ALVW,00,BH,ENZ,"[316506000.0, 316506000.0, 316506000.0]",37.04906,-120.47143,39.1,-0.0391,-86.414,-49.603,-0.039,NC
BK.ALVW.00.HH,BK,ALVW,00,HH,ENZ,"[314801000.0, 314801000.0, 314801000.0]",37.04906,-120.47143,39.1,-0.0391,-86.414,-49.603,-0.039,NC
BK.ALVW.00.HN,BK,ALVW,00,HN,ENZ,"[214211.0, 214519.0, 214450.0]",37.04906,-120.47143,41.8,-0.0418,-86.414,-49.603,-0.042,NC
BK.AONC.00.BH,BK,AONC,00,BH,ENZ,"[316472000.0, 316472000.0, 316472000.0]",39.93981,-122.0608,66.9,-0.0669,-218.961,273.946,-0.067,NC
BK.AONC.00.HH,BK,AONC,00,HH,ENZ,"[314768000.0, 314768000.0, 314768000.0]",39.93981,-122.0608,66.9,-0.0669,-218.961,273.946,-0.067,NC
BK.AONC.00.HN,BK,AONC,00,HN,ENZ,"[214368.0, 214402.0, 214094.0]",39.93981,-122.0608,70.0,-0.07,-218.961,273.946,-0.07,NC
BK.ARC..BH,BK,ARC,,BH,ENZ,"[637355000.0, 611037000.0, 632389000.0]",40.87772,-124.077377,30.1,-0.030100000000000002,-386.123,384.855,-0.03,NC
BK.ARC..HH,BK,ARC,,HH,ENZ,"[623404000.0, 597662000.0, 618548000.0]",40.87772,-124.077377,30.1,-0.030100000000000002,-386.123,384.855,-0.03,NC
BK.ATP.00.BH,BK,ATP,00,BH,ENZ,"[629158000.0, 629578000.0, 629494000.0]",38.34791,-122.42708,470.9,-0.4709,-255.88,98.134,-0.471,NC
BK.ATP.00.HH,BK,ATP,00,HH,ENZ,"[629146000.0, 629566000.0, 629482000.0]",38.34791,-122.42708,470.9,-0.4709,-255.88,98.134,-0.471,NC
BK.ATP.00.HN,BK,ATP,00,HN,ENZ,"[214073.0, 214347.0, 213662.0]",38.34791,-122.42708,472.1,-0.4721,-255.88,98.134,-0.472,NC
BK.ATP.S0.HN,BK,ATP,S0,HN,ENZ,"[213910.0, 214184.0, 213499.0]",38.34791,-122.42708,472.1,-0.4721,-255.88,98.134,-0.472,NC
BK.BABI.00.BH,BK,BABI,00,BH,ENZ,"[650461000.0, 650461000.0, 648727000.0]",36.51579,-120.85301,571.2,-0.5712,-121.201,-108.367,-0.571,NC
BK.BABI.00.HH,BK,BABI,00,HH,ENZ,"[614318000.0, 614318000.0, 612680000.0]",36.51579,-120.85301,571.2,-0.5712,-121.201,-108.367,-0.571,NC
BK.BABI.00.HN,BK,BABI,00,HN,ENZ,"[214331.0, 213922.0, 213102.0]",36.51579,-120.85301,571.2,-0.5712,-121.201,-108.367,-0.571,NC
BK.BAKR.00.BH,BK,BAKR,00,BH,ENZ,"[316506000.0, 316506000.0, 316506000.0]",40.280351,-122.492261,190.1,-0.1901,-254.611,312.893,-0.19,NC
BK.BAKR.00.HH,BK,BAKR,00,HH,ENZ,"[314801000.0, 314801000.0, 314801000.0]",40.280351,-122.492261,190.1,-0.1901,-254.611,312.893,-0.19,NC
BK.BAKR.00.HN,BK,BAKR,00,HN,ENZ,"[214108.0, 214142.0, 213868.0]",40.280351,-122.492261,191.2,-0.19119999999999998,-254.611,312.893,-0.191,NC
BK.BARR.00.BH,BK,BARR,00,BH,ENZ,"[648727000.0, 650461000.0, 648727000.0]",39.30477,-123.19748,261.3,-0.26130000000000003,-318.982,206.75,-0.261,NC
BK.BARR.00.HH,BK,BARR,00,HH,ENZ,"[612680000.0, 614318000.0, 612680000.0]",39.30477,-123.19748,261.3,-0.26130000000000003,-318.982,206.75,-0.261,NC
BK.BARR.00.HN,BK,BARR,00,HN,ENZ,"[215971.0, 214313.0, 215151.0, 214484.0, 214331.0, 214039.0]",39.30477,-123.19748,264.7,-0.2647,-318.982,206.75,-0.265,NC
BK.BARR.S0.HN,BK,BARR,S0,HN,ENZ,"[214149.0, 214321.0, 213876.0]",39.30477,-123.19748,264.7,-0.2647,-318.982,206.75,-0.265,NC
BK.BAYL.00.BH,BK,BAYL,00,BH,ENZ,"[316506000.0, 316506000.0, 316506000.0]",39.60519,-122.05753,35.1,-0.0351,-219.718,236.774,-0.035,NC
BK.BAYL.00.HH,BK,BAYL,00,HH,ENZ,"[314801000.0, 314801000.0, 314801000.0]",39.60519,-122.05753,35.1,-0.0351,-219.718,236.774,-0.035,NC
BK.BAYL.00.HN,BK,BAYL,00,HN,ENZ,"[214313.0, 214039.0, 214964.0]",39.60519,-122.05753,37.3,-0.0373,-219.718,236.774,-0.037,NC
BK.BCCR.00.BH,BK,BCCR,00,BH,ENZ,"[316506000.0, 316506000.0, 316506000.0]",39.81856,-121.73417,517.5,-0.5175,-191.362,259.748,-0.518,NC
BK.BCCR.00.HH,BK,BCCR,00,HH,ENZ,"[314801000.0, 314801000.0, 314801000.0]",39.81856,-121.73417,517.5,-0.5175,-191.362,259.748,-0.518,NC
BK.BCCR.00.HN,BK,BCCR,00,HN,ENZ,"[214382.0, 214176.0, 214861.0]",39.81856,-121.73417,515.8,-0.5157999999999999,-191.362,259.748,-0.516,NC
BK.BDM..BH,BK,BDM,,BH,ENZ,"[612845000.0, 643402000.0, 643402000.0, 643402000.0, 611286000.0, 611783000.0, 618587000.0, 643390000.0, 643390000.0, 643390000.0, 618755000.0, 619258000.0, 620412000.0, 644878000.0, 644878000.0, 644878000.0, 617866000.0, 618368000.0]",37.953972,-121.86554,219.8,-0.21980000000000002,-207.901,53.014,-0.22,NC
BK.BDM.00.BH,BK,BDM,00,BH,ENZ,"[2516580000.0, 2516580000.0, 2516580000.0]",37.953972,-121.86554,219.8,-0.21980000000000002,-207.901,53.014,-0.22,NC
BK.BDM..HH,BK,BDM,,HH,ENZ,"[614642000.0, 645288000.0, 645288000.0, 645288000.0, 613078000.0, 620400000.0, 645276000.0, 645276000.0, 645276000.0, 620569000.0, 622231000.0, 646769000.0, 646769000.0, 646769000.0, 619678000.0]",37.953972,-121.86554,219.8,-0.21980000000000002,-207.901,53.014,-0.22,NC
BK.BDM.00.HH,BK,BDM,00,HH,ENZ,"[2516580000.0, 2516580000.0, 2516580000.0]",37.953972,-121.86554,219.8,-0.21980000000000002,-207.901,53.014,-0.22,NC
BK.BDM.00.HN,BK,BDM,00,HN,ENZ,"[428196.0, 214269.0, 428238.0, 214303.0, 428113.0, 214201.0]",37.953972,-121.86554,219.8,-0.21980000000000002,-207.901,53.014,-0.22,NC
BK.BIGV.00.BH,BK,BIGV,00,BH,ENZ,"[316506000.0, 316506000.0, 316506000.0]",41.09439,-121.22769,1484.4,-1.4844000000000002,-145.292,400.572,-1.484,NC
BK.BIGV.00.HH,BK,BIGV,00,HH,ENZ,"[314801000.0, 314801000.0, 314801000.0]",41.09439,-121.22769,1484.4,-1.4844000000000002,-145.292,400.572,-1.484,NC
BK.BIGV.00.HN,BK,BIGV,00,HN,ENZ,"[213868.0, 213868.0, 214211.0]",41.09439,-121.22769,1487.3,-1.4872999999999998,-145.292,400.572,-1.487,NC
BK.BJES.00.BH,BK,BJES,00,BH,ENZ,"[653930000.0, 652196000.0, 649594000.0]",40.54362,-123.87996,1050.7,-1.0507,-371.266,346.912,-1.051,NC
BK.BJES.00.HH,BK,BJES,00,HH,ENZ,"[617594000.0, 615956000.0, 613499000.0]",40.54362,-123.87996,1050.7,-1.0507,-371.266,346.912,-1.051,NC
BK.BJES.00.HN,BK,BJES,00,HN,ENZ,"[215561.0, 215561.0, 213102.0]",40.54362,-123.87996,1050.7,-1.0507,-371.266,346.912,-1.051,NC
BK.BKS..BH,BK,BKS,,BH,123ENZ,"[7900040.0, 54814300.0, 37434200.0, 7320040.0, 56493700.0, 38581000.0, 8920110.0, 56292100.0, 38443400.0, 1048990000.0, 1055820000.0, 1033860000.0, 1037110000.0, 960436000.0, 1019730000.0, 1068020000.0, 1050630000.0, 963891000.0, 1062670000.0, 1080270000.0, 997577000.0, 1026650000.0, 961689000.0, 951106000.0]",37.876221,-122.23558,243.9,-0.2439,-240.673,45.27,-0.244,NC
BK.BKS..HH,BK,BKS,,HH,ENZ,"[1026030000.0, 1032710000.0, 1011230000.0, 1014410000.0, 939414000.0, 997410000.0, 1044650000.0, 1027630000.0, 953284000.0, 1039410000.0, 1056620000.0, 975742000.0, 1015360000.0, 940639000.0]",37.876221,-122.23558,243.9,-0.2439,-240.673,45.27,-0.244,NC
BK.BKS.00.BH,BK,BKS,00,BH,ENZ,"[-4734530000.0, 4734530000.0, -3217870000.0, 3217870000.0, -5877060000.0, 5877060000.0]",37.876221,-122.23558,243.9,-0.2439,-240.673,45.27,-0.244,NC
BK.BKS.00.HH,BK,BKS,00,HH,ENZ,"[-4734530000.0, 4734530000.0, -3217870000.0, 3217870000.0, -5877060000.0, 5877060000.0]",37.876221,-122.23558,243.9,-0.2439,-240.673,45.27,-0.244,NC
BK.BKS.00.HN,BK,BKS,00,HN,ENZ,"[428490.0, 213995.0, 427648.0, 213995.0, 427945.0, 214235.0, 428058.0, 214235.0, 428490.0, 214098.0, 427819.0, 214098.0]",37.876221,-122.23558,243.9,-0.2439,-240.673,45.27,-0.244,NC
BK.BL67.00.BH,BK,BL67,00,BH,ENZ,"[631662000.0, 632501000.0, 627468000.0]",37.87492,-122.243179,736.2,-0.7362000000000001,-241.346,45.146,-0.736,NC
BK.BL67.00.HH,BK,BL67,00,HH,ENZ,"[631662000.0, 632501000.0, 627468000.0]",37.87492,-122.243179,736.2,-0.7362000000000001,-241.346,45.146,-0.736,NC
BK.BL67.00.HN,BK,BL67,00,HN,ENZ,"[428093.0, 428093.0, 428093.0, 427945.0, 428504.0, 428504.0, 428504.0, 428406.0, 428298.0, 427777.0]",37.87492,-122.243179,736.2,-0.7362000000000001,-241.346,45.146,-0.736,NC
BK.BL88.00.HN,BK,BL88,00,HN,ENZ,"[428113.0, 428469.0, 428469.0, 428469.0, 428093.0, 214132.0, 428658.0, 428503.0, 428503.0, 428503.0, 428504.0, 214132.0, 428700.0, 428608.0, 428298.0, 214166.0]",37.877151,-122.254288,602.2,-0.6022000000000001,-242.316,45.422,-0.602,NC
BK.BLAS.00.BH,BK,BLAS,00,BH,ENZ,"[316506000.0, 316506000.0, 316506000.0]",40.3227,-123.53248,1678.0,-1.678,-342.904,321.007,-1.678,NC
BK.BLAS.00.HH,BK,BLAS,00,HH,ENZ,"[314801000.0, 314801000.0, 314801000.0]",40.3227,-123.53248,1678.0,-1.678,-342.904,321.007,-1.678,NC
BK.BLAS.00.HN,BK,BLAS,00,HN,ENZ,"[214519.0, 214142.0, 214382.0]",40.3227,-123.53248,1679.3,-1.6793,-342.904,321.007,-1.679,NC
BK.BLUE.00.BH,BK,BLUE,00,BH,ENZ,"[316506000.0, 316506000.0, 316506000.0]",38.34234,-120.36462,1840.5,-1.8405,-75.591,93.848,-1.84,NC
BK.BLUE.00.HH,BK,BLUE,00,HH,ENZ,"[314801000.0, 314801000.0, 314801000.0]",38.34234,-120.36462,1840.5,-1.8405,-75.591,93.848,-1.84,NC
BK.BLUE.00.HN,BK,BLUE,00,HN,ENZ,"[213868.0, 214211.0, 214416.0]",38.34234,-120.36462,1840.5,-1.8405,-75.591,93.848,-1.84,NC
BK.BONV.00.BH,BK,BONV,00,BH,ENZ,"[316472000.0, 316472000.0, 316472000.0]",38.98742,-123.34856,194.3,-0.1943,-333.483,172.051,-0.194,NC
BK.BONV.00.HH,BK,BONV,00,HH,ENZ,"[314768000.0, 314768000.0, 314768000.0]",38.98742,-123.34856,194.3,-0.1943,-333.483,172.051,-0.194,NC
BK.BONV.00.HN,BK,BONV,00,HN,ENZ,"[214325.0, 214462.0, 214325.0]",38.98742,-123.34856,196.9,-0.19690000000000002,-333.483,172.051,-0.197,NC
BK.BOYR.00.BH,BK,BOYR,00,BH,ENZ,"[316506000.0, 316506000.0, 316506000.0]",38.98509,-121.79609,8.9,-0.0089,-198.973,167.324,-0.009,NC
BK.BOYR.00.HH,BK,BOYR,00,HH,ENZ,"[314801000.0, 314801000.0, 314801000.0]",38.98509,-121.79609,8.9,-0.0089,-198.973,167.324,-0.009,NC
BK.BOYR.00.HN,BK,BOYR,00,HN,ENZ,"[214347.0, 214039.0, 214724.0]",38.98509,-121.79609,11.8,-0.011800000000000001,-198.973,167.324,-0.012,NC
BK.BRAD.00.BH,BK,BRAD,00,BH,ENZ,"[316506000.0, 316506000.0, 316506000.0]",35.92625,-120.76114,467.4,-0.4674,-113.836,-173.905,-0.467,NC
BK.BRAD.00.HH,BK,BRAD,00,HH,ENZ,"[314801000.0, 314801000.0, 314801000.0]",35.92625,-120.76114,467.4,-0.4674,-113.836,-173.905,-0.467,NC
BK.BRAD.00.HN,BK,BRAD,00,HN,ENZ,"[214484.0, 214519.0, 213731.0]",35.92625,-120.76114,470.0,-0.47,-113.836,-173.905,-0.47,NC
BK.BRIB..BH,BK,BRIB,,BH,ENZ,"[2652920000.0, 2761900000.0, 2761900000.0, 2652920000.0, 639226000.0, 632191000.0, 2479670000.0, 2569810000.0, 2507320000.0, 2507320000.0, 2569810000.0, 646575000.0, 639459000.0, 2499810000.0, 2343270000.0, 2432930000.0, 2343270000.0, 600963000.0, 594350000.0, 2496450000.0]",37.918812,-122.151756,218.9,-0.2189,-233.165,49.785,-0.219,NC
BK.BRIB.00.BH,BK,BRIB,00,BH,ENZ,"[2479670000.0, 2499810000.0, 2496450000.0]",37.918812,-122.151756,218.9,-0.2189,-233.165,49.785,-0.219,NC
