index,network,station,location,instrument,component,sensitivity,latitude,longitude,elevation_m,depth_km,x_km,y_km,z_km,provider
CI.WLH2..BH,CI,WLH2,,BH,ENZ,"[624242000.0, 633341000.0, 316506000.0, 624242000.0, 633341000.0, 316506000.0, 624242000.0, 633341000.0, 316506000.0]",36.152072,-118.313186,2671.4,-2.6714,106.816,-148.929,-2.671,NC
CI.WLH2..HH,CI,WLH2,,HH,ENZ,"[624238000.0, 629865000.0, 314801000.0, 624238000.0, 629865000.0, 314801000.0, 624238000.0, 629865000.0, 314801000.0]",36.152072,-118.313186,2671.4,-2.6714,106.816,-148.929,-2.671,NC
CI.WLH2..HN,CI,WLH2,,HN,ENZ,"[213672.0, 213916.0, 213748.0, 213757.0, 214001.0, 213748.0, 212945.0, 213188.0, 213705.0]",36.152072,-118.313186,2671.4,-2.6714,106.816,-148.929,-2.671,NC
CI.WLH2.2C.HN,CI,WLH2,2C,HN,ENZ,"[213781.0, 213866.0, 213053.0]",36.152072,-118.313186,2672.0,-2.672,106.816,-148.929,-2.672,NC
CI.WMF..EH,CI,WMF,,EH,Z,"[898827000.0, 76516300.0]",36.11774,-117.85484,1513.0,-1.513,148.134,-152.128,-1.513,NC
CI.WMF..BH,CI,WMF,,BH,ENZ,"[629963000.0, 631652000.0, 629963000.0]",36.11758,-117.85486,1537.4,-1.5374,148.132,-152.146,-1.537,NC
CI.WMF..HH,CI,WMF,,HH,ENZ,"[626506000.0, 628185000.0, 626506000.0]",36.11758,-117.85486,1537.4,-1.5374,148.132,-152.146,-1.537,NC
CI.WMF..HN,CI,WMF,,HN,ENZ,"[214087.0, 214087.0, 214087.0]",36.11758,-117.85486,1537.4,-1.5374,148.132,-152.146,-1.537,NC
CI.WMF.2C.HN,CI,WMF,2C,HN,ENZ,"[213952.0, 213952.0, 213952.0]",36.11758,-117.85486,1537.4,-1.5374,148.132,-152.146,-1.537,NC
CI.WNM..BH,CI,WNM,,BH,ENZ,"[316506000.0, 316506000.0, 316506000.0]",35.8422,-117.90616,974.3,-0.9742999999999999,144.022,-182.785,-0.974,NC
CI.WNM..EH,CI,WNM,,EH,Z,"[450481000.0, 69596000.0, 69499300.0, 69306200.0]",35.8422,-117.90616,974.3,-0.9742999999999999,144.022,-182.785,-0.974,NC
CI.WNM..HH,CI,WNM,,HH,ENZ,"[314801000.0, 314801000.0, 314801000.0]",35.8422,-117.90616,974.3,-0.9742999999999999,144.022,-182.785,-0.974,NC
CI.WNM..HN,CI,WNM,,HN,ENZ,"[214054.0, 214054.0, 214211.0, 213926.0, 213926.0, 214083.0, 214054.0, 214054.0, 214211.0]",35.8422,-117.90616,974.3,-0.9742999999999999,144.022,-182.785,-0.974,NC
CI.WNM.2C.HN,CI,WNM,2C,HN,ENZ,"[214048.0, 214048.0, 213920.0, 213920.0, 214048.0, 214048.0]",35.8422,-117.90616,974.3,-0.9742999999999999,144.022,-182.785,-0.974,NC
CI.WOF..EH,CI,WOF,,EH,Z,"[450481000.0, 63375200.0]",35.53545,-118.71352,1306.0,-1.306,71.346,-217.733,-1.306,NC
CI.WOR..BH,CI,WOR,,BH,ENZ,"[626915000.0, 626915000.0, 633341000.0, 633341000.0, 644488000.0, 626915000.0, 626915000.0, 633341000.0, 633341000.0, 641025000.0, 626843000.0, 626843000.0, 633341000.0, 633341000.0, 640603000.0]",35.69563,-118.24246,795.0,-0.795,113.846,-199.503,-0.795,NC
CI.WOR..EH,CI,WOR,,EH,Z,[225775000.0],35.69563,-118.24246,795.0,-0.795,113.846,-199.503,-0.795,NC
CI.WOR..HH,CI,WOR,,HH,ENZ,"[626911000.0, 626911000.0, 629865000.0, 629865000.0, 640951000.0, 626911000.0, 626911000.0, 629865000.0, 629865000.0, 637507000.0, 626839000.0, 626839000.0, 629865000.0, 629865000.0, 637088000.0]",35.69563,-118.24246,795.0,-0.795,113.846,-199.503,-0.795,NC
CI.WOR..HN,CI,WOR,,HN,ENZ,"[213800.0, 214044.0, 213672.0, 213916.0, 213971.0, 214215.0]",35.69563,-118.24246,795.0,-0.795,113.846,-199.503,-0.795,NC
CI.WWP..EH,CI,WWP,,EH,Z,[450481000.0],35.73556,-118.08806,1117.0,-1.117,127.759,-194.877,-1.117,NC
CI.YEG..EH,CI,YEG,,EH,Z,"[225775000.0, 76541200.0, 19135300.0]",35.43658,-119.96009,907.0,-0.907,-41.79,-228.898,-0.907,NC
CI.YEG2..BH,CI,YEG2,,BH,ENZ,"[316463000.0, 316463000.0, 316463000.0]",35.43831,-119.96306,963.0,-0.963,-42.059,-228.705,-0.963,NC
CI.YEG2..HH,CI,YEG2,,HH,ENZ,"[314768000.0, 314768000.0, 314768000.0]",35.43831,-119.96306,963.0,-0.963,-42.059,-228.705,-0.963,NC
