station_id,phase_time,phase_score,phase_type,dt
C,2025-11-26 06:21:04.258,0.46,P,0.01
C,2025-11-26 08:46:07.938,0.489,P,0.01
C,2025-11-26 08:49:07.518,0.806,P,0.01
C,2025-11-26 09:23:46.218,0.336,P,0.01
C,2025-11-26 10:24:57.958,0.391,P,0.01
C,2025-11-26 11:05:29.018,0.376,P,0.01
C,2025-11-26 11:06:00.448,0.343,P,0.01
C,2025-11-26 11:28:59.298,0.412,P,0.01
C,2025-11-26 14:21:31.728,0.338,P,0.01
C,2025-11-26 14:29:07.638,0.394,P,0.01
C,2025-11-26 15:03:41.248,0.612,P,0.01
C,2025-11-26 18:33:31.618,0.363,P,0.01
C,2025-11-26 18:34:48.258,0.55,P,0.01
C,2025-11-26 18:55:41.158,0.434,P,0.01
C,2025-11-26 19:46:53.098,0.382,P,0.01
C,2025-11-26 08:16:29.038,0.48,S,0.01
C,2025-11-26 08:49:10.078,0.389,S,0.01
C,2025-11-26 15:03:44.858,0.301,S,0.01
C,2025-11-26 15:49:50.678,0.332,S,0.01
C,2025-11-26 16:02:36.768,0.414,S,0.01
C,2025-11-26 17:10:57.798,0.316,S,0.01
C,2025-11-26 17:54:27.158,0.365,S,0.01
C,2025-11-26 18:49:34.098,0.467,S,0.01
